sha,date,exact,subject,src_files,test_files,n_run_lines,entry_tools,langs,reducibility
cc71d34ab52f,2026-08-17,1,[MooreToCore] Fix out-of-bounds and aggregate moore.extract lowering (#10993),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/basic.mlir;test/circt-verilog/roundtrip-oob-reads.sv,2,circt-opt;circt-verilog,.mlir;.sv,direct;lift-circt-verilog
56f16468bccf,2026-08-13,1,[OM] Fix OM evaluator assert w/ non-constant msg,lib/Dialect/OM/Transforms/ElaborateObject.cpp,test/Dialect/OM/elaborate-object-errors-unevaluated.mlir,1,circt-opt,.mlir,direct
4ac632ae7dd8,2026-08-13,1,[OM] Fix crash in assert w/ block arg message,lib/Dialect/OM/Transforms/ElaborateObject.cpp,test/Dialect/OM/elaborate-object-errors-unevaluated.mlir,1,circt-opt,.mlir,direct
08f97b29f1c7,2026-08-03,1,[ImportVerilog] Re-apply array handling fixes without unpacked array reversal (#10926),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/array.sv;test/Conversion/ImportVerilog/basic.sv,3,circt-translate;circt-verilog,.sv,lift-circt-verilog
e2e5cca7355c,2026-07-28,1,[MooreToCore] Lower moore.null and handle comparisons to LLVM ptr ops (#10863),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/classes.mlir,1,circt-opt,.mlir,direct
42d11d06acf7,2026-07-22,1,[FIRRTL][InferDomain] Fix null pointer dereference (#10886),lib/Dialect/FIRRTL/Transforms/InferDomains.cpp,test/Dialect/FIRRTL/infer-domains-check-errors.mlir,1,circt-opt,.mlir,direct
e7e3249173a2,2026-07-21,1,[ImportVerilog] Allow `assert`s inside functions,include/circt/Dialect/Moore/MooreOps.h;include/circt/Dialect/Moore/MooreOps.td,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
a5f07baa45f0,2026-07-17,1,[ImportVerilog] Fix operand domain for real logical operators (#10842),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
f1fe5740b35c,2026-07-15,1,[ExportVerilog] Fix precedence of equality operators (#10833),lib/Conversion/ExportVerilog/ExportVerilog.cpp,test/Conversion/ExportVerilog/verilog-basic.mlir,1,circt-opt,.mlir,direct
dc54091c7728,2026-07-14,1,[MooreToCore] Legalize sim.queue as a target type to fix hierarchical queue refs (#10821),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/basic.mlir,1,circt-opt,.mlir,direct
a01b37c93c58,2026-07-14,1,[Moore] Fix VariableOp::getDefaultValue for non-integer types (#10827),lib/Dialect/Moore/MooreOps.cpp,test/Dialect/Moore/mem2reg.mlir,1,circt-opt,.mlir,direct
3483195718eb,2026-07-08,1,[ImportVerilog] Fix corrupted constant string materialization (#10776),lib/Conversion/ImportVerilog/Expressions.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
bb4d4f99f6ea,2026-07-06,1,[MooreToCore] Fix bool cast lowering for packed aggregates (#10777),lib/Conversion/MooreToCore/MooreToCore.cpp,test/Conversion/MooreToCore/basic.mlir,1,circt-opt,.mlir,direct
a14ce3078b4c,2026-07-06,1,[ImportVerilog] Fix return type mismatch for functions returning string (#10775),lib/Conversion/ImportVerilog/Statements.cpp,test/Conversion/ImportVerilog/basic.sv,2,circt-translate;circt-verilog,.sv,lift-circt-verilog
acbc74635c94,2026-07-06,1,[MooreToCore][Transforms] Fix always_comb lowering for string-typed signals (#10769),lib/Conversion/MooreToCore/MooreToCore.cpp;lib/Transforms/MapArithToComb.cpp,test/Conversion/MooreToCore/basic.mlir;test/Transforms/map-arith-to-comb.mlir,2,circt-opt,.mlir,direct
0da0bde46833,2026-06-25,1,[Comb] Fix O(NM) extract-of-concat resolution (#10733),lib/Dialect/Comb/CombFolds.cpp,test/Dialect/Comb/concat-canonicalize-scaling.py,0,(none),other:.py,textual-only
